N,replica,metric,value
50,0,n_nodes,50.0
50,0,n_edges,3.0
50,0,lcc_nodes,2.0
50,0,lcc_ratio,0.04
50,0,avg_shortest_path_lcc,1.0
50,0,diameter_lcc,1.0
50,0,degree_assortativity_ud,
50,0,avg_clustering_ud,0.0
50,0,modularity_ud,0.6666666666666666
50,1,n_nodes,50.0
50,1,n_edges,0.0
50,1,lcc_nodes,1.0
50,1,lcc_ratio,0.02
50,1,avg_shortest_path_lcc,
50,1,diameter_lcc,
50,1,degree_assortativity_ud,
50,1,avg_clustering_ud,0.0
50,1,modularity_ud,
50,2,n_nodes,50.0
50,2,n_edges,3.0
50,2,lcc_nodes,2.0
50,2,lcc_ratio,0.04
50,2,avg_shortest_path_lcc,1.0
50,2,diameter_lcc,1.0
50,2,degree_assortativity_ud,
50,2,avg_clustering_ud,0.0
50,2,modularity_ud,0.6666666666666666
50,3,n_nodes,50.0
50,3,n_edges,0.0
50,3,lcc_nodes,1.0
50,3,lcc_ratio,0.02
50,3,avg_shortest_path_lcc,
50,3,diameter_lcc,
50,3,degree_assortativity_ud,
50,3,avg_clustering_ud,0.0
50,3,modularity_ud,
50,4,n_nodes,50.0
50,4,n_edges,1.0
50,4,lcc_nodes,2.0
50,4,lcc_ratio,0.04
50,4,avg_shortest_path_lcc,1.0
50,4,diameter_lcc,1.0
50,4,degree_assortativity_ud,
50,4,avg_clustering_ud,0.0
50,4,modularity_ud,0.0
50,5,n_nodes,50.0
50,5,n_edges,26.0
50,5,lcc_nodes,27.0
50,5,lcc_ratio,0.54
50,5,avg_shortest_path_lcc,1.9943019943019944
50,5,diameter_lcc,3.0
50,5,degree_assortativity_ud,-0.9311979301423031
50,5,avg_clustering_ud,0.0
50,5,modularity_ud,0.054102259215220015
50,6,n_nodes,50.0
50,6,n_edges,2.0
50,6,lcc_nodes,2.0
50,6,lcc_ratio,0.04
50,6,avg_shortest_path_lcc,1.0
50,6,diameter_lcc,1.0
50,6,degree_assortativity_ud,
50,6,avg_clustering_ud,0.0
50,6,modularity_ud,0.5
50,7,n_nodes,50.0
50,7,n_edges,2.0
50,7,lcc_nodes,2.0
50,7,lcc_ratio,0.04
50,7,avg_shortest_path_lcc,1.0
50,7,diameter_lcc,1.0
50,7,degree_assortativity_ud,
50,7,avg_clustering_ud,0.0
50,7,modularity_ud,0.5
50,8,n_nodes,50.0
50,8,n_edges,4.0
50,8,lcc_nodes,3.0
50,8,lcc_ratio,0.06
50,8,avg_shortest_path_lcc,1.3333333333333333
50,8,diameter_lcc,2.0
50,8,degree_assortativity_ud,-0.3333333333333333
50,8,avg_clustering_ud,0.0
50,8,modularity_ud,0.625
50,9,n_nodes,50.0
50,9,n_edges,27.0
50,9,lcc_nodes,28.0
50,9,lcc_ratio,0.56
50,9,avg_shortest_path_lcc,2.121693121693122
50,9,diameter_lcc,4.0
50,9,degree_assortativity_ud,-0.8767941888619856
50,9,avg_clustering_ud,0.0
