source,target,weight,attempts,successes,viz_weight
0,78,1.0,1,1,1.0
1,60,1.0,1,1,1.0
1,70,1.0,1,1,1.0
2,83,1.0,1,1,1.0
4,25,1.0,1,1,1.0
5,51,1.0,1,1,1.0
6,50,1.0,1,1,1.0
6,58,1.0,1,1,1.0
7,85,1.0,1,1,1.0
9,17,1.0,1,1,1.0
9,82,1.0,1,1,1.0
10,18,1.0,1,1,1.0
14,26,1.0,1,1,1.0
15,78,1.0,1,1,1.0
16,99,1.0,1,1,1.0
17,4,1.0,1,1,1.0
20,15,1.0,1,1,1.0
26,18,1.0,1,1,1.0
27,52,1.0,1,1,1.0
30,22,1.0,1,1,1.0
30,23,2.0,2,2,2.0
31,3,1.0,1,1,1.0
33,1,1.0,1,1,1.0
34,1,1.0,1,1,1.0
34,17,1.0,1,0,0.2
36,23,2.0,2,2,2.0
36,98,1.0,1,1,1.0
37,19,1.0,1,1,1.0
38,71,1.0,1,1,1.0
39,44,1.0,1,1,1.0
40,25,1.0,1,1,1.0
42,84,1.0,1,1,1.0
43,20,1.0,1,1,1.0
43,37,1.0,1,1,1.0
43,82,1.0,1,1,1.0
44,66,1.0,1,1,1.0
44,69,1.0,1,0,0.2
45,30,1.0,1,1,1.0
45,62,1.0,1,1,1.0
46,32,1.0,1,1,1.0
46,58,1.0,1,1,1.0
49,42,1.0,1,1,1.0
49,44,1.0,1,1,1.0
50,21,1.0,1,1,1.0
52,82,1.0,1,1,1.0
53,52,1.0,1,1,1.0
55,74,1.0,1,1,1.0
56,15,1.0,1,1,1.0
56,18,1.0,1,1,1.0
57,11,1.0,1,1,1.0
57,40,1.0,1,1,1.0
63,27,1.0,1,1,1.0
64,41,1.0,1,1,1.0
64,46,1.0,1,1,1.0
64,78,1.0,1,1,1.0
65,42,1.0,1,1,1.0
65,45,1.0,1,1,1.0
66,13,1.0,1,1,1.0
66,80,1.0,1,1,1.0
66,83,1.0,1,1,1.0
67,51,1.0,1,1,1.0
67,75,1.0,1,1,1.0
68,99,1.0,1,1,1.0
70,3,1.0,1,1,1.0
71,51,1.0,1,1,1.0
71,84,1.0,1,1,1.0
72,45,1.0,1,1,1.0
73,32,1.0,1,1,1.0
75,85,1.0,1,1,1.0
76,25,1.0,1,1,1.0
76,51,1.0,1,1,1.0
76,52,1.0,1,1,1.0
78,95,1.0,1,1,1.0
79,6,1.0,1,1,1.0
80,45,1.0,1,1,1.0
80,94,1.0,1,0,0.2
81,2,1.0,1,0,0.2
82,43,1.0,1,1,1.0
84,70,1.0,1,1,1.0
84,82,1.0,1,1,1.0
86,9,1.0,1,1,1.0
86,93,1.0,1,1,1.0
87,9,1.0,1,1,1.0
87,17,1.0,1,1,1.0
88,22,1.0,1,1,1.0
88,45,1.0,1,1,1.0
89,69,1.0,1,1,1.0
90,19,1.0,1,1,1.0
93,16,1.0,1,1,1.0
96,48,1.0,1,0,0.2
99,75,1.0,1,1,1.0
