id,role,betweenness,in_strength,out_strength,peak_window_start,peak_window_end
0,neutro,0.0,0.0,1.0,700,800
1,neutro,0.0008403361344537815,2.0,2.0,700,800
2,neutro,0.00014005602240896358,1.0,1.0,700,800
4,neutro,0.0007002801120448178,1.0,1.0,700,800
5,neutro,0.0,0.0,1.0,700,800
6,neutro,0.00042016806722689073,1.0,2.0,700,800
7,neutro,0.0,0.0,1.0,700,800
9,neutro,0.0026610644257703078,2.0,2.0,700,800
10,neutro,0.0,0.0,1.0,700,800
14,neutro,0.0,0.0,1.0,700,800
15,neutro,0.0050420168067226885,2.0,1.0,700,800
16,neutro,0.0008403361344537815,1.0,1.0,700,800
17,neutro,0.0011204481792717086,3.0,1.0,700,800
20,neutro,0.006722689075630252,1.0,1.0,700,800
26,neutro,0.00014005602240896358,1.0,1.0,700,800
27,neutro,0.0012605042016806721,1.0,1.0,700,800
30,líder,0.0023809523809523807,1.0,3.0,700,800
31,neutro,0.0,0.0,1.0,700,800
33,neutro,0.0,0.0,1.0,700,800
34,neutro,0.0,0.0,2.0,700,800
36,líder,0.0,0.0,3.0,700,800
37,neutro,0.002240896358543417,1.0,1.0,700,800
38,neutro,0.0,0.0,1.0,700,800
39,neutro,0.0,0.0,1.0,700,800
40,neutro,0.00014005602240896358,1.0,1.0,700,800
42,neutro,0.0030812324929971988,2.0,1.0,700,800
43,neutro,0.012605042016806721,1.0,3.0,700,800
44,neutro,0.0030812324929971988,2.0,2.0,700,800
45,neutro,0.0043417366946778705,4.0,2.0,700,800
46,neutro,0.00028011204481792715,1.0,2.0,700,800
49,neutro,0.0,0.0,2.0,700,800
50,neutro,0.00028011204481792715,1.0,1.0,700,800
52,neutro,0.004481792717086834,3.0,1.0,700,800
53,neutro,0.0,0.0,1.0,700,800
55,neutro,0.0,0.0,1.0,700,800
56,neutro,0.0,0.0,2.0,700,800
57,neutro,0.0,0.0,2.0,700,800
63,neutro,0.0,0.0,1.0,700,800
64,neutro,0.0,0.0,3.0,700,800
65,neutro,0.0,0.0,2.0,700,800
66,neutro,0.0037815126050420164,1.0,3.0,700,800
67,neutro,0.0,0.0,2.0,700,800
68,neutro,0.0,0.0,1.0,700,800
70,neutro,0.0012605042016806721,2.0,1.0,700,800
71,neutro,0.001680672268907563,1.0,2.0,700,800
72,neutro,0.0,0.0,1.0,700,800
73,neutro,0.0,0.0,1.0,700,800
75,neutro,0.0008403361344537815,2.0,1.0,700,800
76,líder,0.0,0.0,3.0,700,800
78,vítima_falhada,0.0029411764705882353,3.0,1.0,700,800
79,neutro,0.0,0.0,1.0,700,800
80,neutro,0.003361344537815126,1.0,2.0,700,800
81,neutro,0.0,0.0,1.0,700,800
82,neutro,0.013725490196078431,4.0,1.0,700,800
84,neutro,0.007002801120448179,2.0,2.0,700,800
86,neutro,0.0,0.0,2.0,700,800
87,neutro,0.0,0.0,2.0,700,800
88,neutro,0.0,0.0,2.0,700,800
89,neutro,0.0,0.0,1.0,700,800
90,neutro,0.0,0.0,1.0,700,800
93,neutro,0.0005602240896358543,1.0,1.0,700,800
96,neutro,0.0,0.0,1.0,700,800
99,neutro,0.0011204481792717086,2.0,1.0,700,800
60,neutro,0.0,1.0,0.0,700,800
83,neutro,0.0,2.0,0.0,700,800
25,vítima_falhada,0.0,3.0,0.0,700,800
51,vítima,0.0,4.0,0.0,700,800
58,neutro,0.0,2.0,0.0,700,800
85,neutro,0.0,2.0,0.0,700,800
18,vítima_falhada,0.0,3.0,0.0,700,800
22,vítima_falhada,0.0,2.0,0.0,700,800
23,vítima_falhada,0.0,4.0,0.0,700,800
3,neutro,0.0,2.0,0.0,700,800
98,neutro,0.0,1.0,0.0,700,800
19,vítima_falhada,0.0,2.0,0.0,700,800
69,neutro,0.0,2.0,0.0,700,800
62,neutro,0.0,1.0,0.0,700,800
32,neutro,0.0,2.0,0.0,700,800
21,neutro,0.0,1.0,0.0,700,800
74,neutro,0.0,1.0,0.0,700,800
11,neutro,0.0,1.0,0.0,700,800
41,neutro,0.0,1.0,0.0,700,800
13,neutro,0.0,1.0,0.0,700,800
95,neutro,0.0,1.0,0.0,700,800
94,neutro,0.0,1.0,0.0,700,800
48,neutro,0.0,1.0,0.0,700,800
