source,target,type,weight
15974810.0,743416679296868352,mention,1
19450493.0,14994303,mention,1
31463448.0,14994303,mention,1
32411118.0,14994303,mention,1
47048111.0,179185127,mention,1
49125266.0,14994303,mention,1
63527966.0,1.3675819198405059e+18,reply,1
63527966.0,1416938882235514882,mention,1
64717337.0,1564816840098021377,mention,1
65749506.0,136802851,mention,1
82678208.0,14994303,mention,1
83764064.0,14994303,mention,1
91996693.0,789995979567169536,mention,1
107516237.0,14994303,mention,1
179185127.0,14994303,mention,1
181155828.0,1.367605778312495e+18,reply,1
181155828.0,1.36761070890138e+18,reply,1
181155828.0,50467662,mention,1
181155828.0,67656004,mention,1
190252561.0,14994303,mention,1
210592658.0,179185127,mention,1
231844031.0,14994303,mention,1
245925923.0,1.367589764942033e+18,reply,1
269488929.0,14994303,mention,1
275674562.0,1564816840098021377,mention,1
359786977.0,14994303,mention,2
410860599.0,14994303,mention,1
444968085.0,179185127,mention,1
547740143.0,14994303,mention,1
568480793.0,14994303,mention,1
596661602.0,179185127,mention,1
1002056264.0,14994303,mention,1
1372038560.0,14994303,mention,1
1945948387.0,1.3676049748055245e+18,reply,1
1945948387.0,1.3676059298275779e+18,reply,1
1945948387.0,1552989858787999745,mention,1
1945948387.0,339963074,mention,1
2329312274.0,14994303,mention,1
2466270178.0,1.3675663797261025e+18,reply,1
2466270178.0,1346977692919492609,mention,1
2503052285.0,14994303,mention,1
2806935616.0,1.3676105044962386e+18,reply,1
3073189731.0,14994303,mention,1
3099812141.0,1.3676063703637033e+18,reply,1
3099812141.0,135008861,mention,1
3291872936.0,14994303,mention,1
7.007487710643487e+17,14994303,mention,1
7.028860613122212e+17,1.3676004980025098e+18,reply,1
7.028860613122212e+17,14994303,mention,1
7.028860613122212e+17,1813696567892959232,mention,1
7.064898537483551e+17,1.3675906297194373e+18,reply,1
7.064898537483551e+17,1.3675992822415524e+18,reply,1
7.064898537483551e+17,1.3676066718712545e+18,reply,1
7.064898537483551e+17,1.3676163756032164e+18,reply,1
7.064898537483551e+17,1.3676173694478172e+18,reply,1
7.064898537483551e+17,1.3676175535735685e+18,reply,1
7.064898537483551e+17,1.3676177131374756e+18,reply,1
7.064898537483551e+17,1.3676224219273134e+18,reply,1
7.064898537483551e+17,1.3676224953024758e+18,reply,1
7.064898537483551e+17,1.367624225754919e+18,reply,1
7.064898537483551e+17,1307204548268822528,mention,1
7.064898537483551e+17,136802851,mention,1
7.064898537483551e+17,1492483633256583173,mention,1
7.064898537483551e+17,2310860312,mention,1
7.064898537483551e+17,2890762929,mention,1
7.064898537483551e+17,70240510,mention,1
7.064898537483551e+17,789995979567169536,mention,2
8.336825160285594e+17,14994303,mention,2
8.381632623321457e+17,14994303,mention,1
8.764952950598328e+17,1.3675168394970644e+18,reply,1
8.838350175998648e+17,1.3669262023431455e+18,reply,1
8.838350175998648e+17,1.367265937381032e+18,reply,1
8.838350175998648e+17,1.3672719310205174e+18,reply,1
8.838350175998648e+17,1.367310936302887e+18,reply,1
8.838350175998648e+17,1.3674827645478093e+18,reply,1
8.838350175998648e+17,1.3675663797261025e+18,reply,1
8.838350175998648e+17,1.3675798401115136e+18,reply,1
8.838350175998648e+17,1.3675821076656538e+18,reply,1
8.838350175998648e+17,1.3675830441698386e+18,reply,1
8.838350175998648e+17,1.3676143499893432e+18,reply,1
8.838350175998648e+17,1.367616868417237e+18,reply,1
8.838350175998648e+17,1.3676177131374756e+18,reply,1
8.838350175998648e+17,1.3676215058409964e+18,reply,1
8.925907419895972e+17,1.3676130884349501e+18,reply,1
8.925907419895972e+17,2474353003,mention,1
9.276169884652012e+17,1.3675168394970644e+18,reply,1
9.526059827393208e+17,1.3676204039051018e+18,reply,1
9.782939284400087e+17,1360818391049793539,mention,1
1.0223433883671388e+18,1.367566034010583e+18,reply,1
1.0313430392965612e+18,1.3673003372044206e+18,reply,1
1.0313430392965612e+18,1.367306617042178e+18,reply,1
1.0313430392965612e+18,1.3675598681026765e+18,reply,1
1.0400568272270623e+18,14994303,mention,1
1.0769862500898939e+18,14994303,mention,1
1.0838224532883005e+18,789995979567169536,mention,1
1.141137755512234e+18,1.3675816270445363e+18,reply,1
1.141137755512234e+18,353778904,mention,1
1.1483622158394532e+18,14994303,mention,1
1.1832258256777953e+18,1.3672628418421268e+18,reply,1
1.1832258256777953e+18,1.367329000725631e+18,reply,1
1.1832258256777953e+18,1.3673345863431741e+18,reply,1
1.1832258256777953e+18,1.3674381426435932e+18,reply,1
1.1832258256777953e+18,1.3674559381275484e+18,reply,1
1.1832258256777953e+18,1.367455956980945e+18,reply,1
1.1832258256777953e+18,1.3674974119255409e+18,reply,1
1.1832258256777953e+18,1.367501183091368e+18,reply,1
1.1832258256777953e+18,1.367514483682386e+18,reply,1
1.1832258256777953e+18,1.3675186730203423e+18,reply,1
1.1832258256777953e+18,1.3675449425880146e+18,reply,1
1.1832258256777953e+18,1.367551249940435e+18,reply,1
1.1832258256777953e+18,1.3675578979458294e+18,reply,1
1.1832258256777953e+18,1.3675602956783616e+18,reply,1
1.1915251826425733e+18,1.3675518246187418e+18,reply,1
1.1915251826425733e+18,1.3676181109797724e+18,reply,1
1.1915251826425733e+18,511577335,mention,2
1.1936926984625562e+18,1564816840098021377,mention,1
1.2026777578487562e+18,789995979567169536,mention,1
