tweet_id,user_id,created_at,text,reply_to,retweet_of,mentions_json
1367625891782799360,883835017599864832,,@PortalTracklist Gilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale  \n\nApenas um tatuzin https://t.co/sLg5d0ZxW3,1367614349989343235,,[]
1367625674769526788,140962831,Thu Mar 04 23:59:04 +0000 2021,Sentindo que o paredão falso vai flopar 🤡 \n\n#BBB21,,,[]
1367625651931525122,3494356702,,"Nunca torci tanto pela pocah ou Arthur ganhar essa prova do líder, pq daí a Sarah ou a Ju vai pro paredão😍😍😍😍#bbb21 Oq um paredão falso n faz? Kakakakaka https://t.co/uJktffQEf3",,,[]
1367625600152788994,1309695225061834752,Thu Mar 04 23:58:46 +0000 2021,"Seria legal um paredão Projota x Gil x Carla porque aí se o Gil sair, o Projota vai ficar se achando mais e que o Gil sempre estave errado #bbb21",,,[]
1367625593123196930,1299058449825890309,,@harryfacs .\nGilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale  https://t.co/4UVeofhTbS,1367620622680002560,,[]
1367625474818666496,1151325579045679105,Thu Mar 04 23:58:17 +0000 2021,Viih é Thaís tentando jogar a sementinha da discórdia contra Gil na Camilla mas não querem mostrar as garrinhas 🐍🐍 domingo que vem essa Viih tem que ir pro paredão. 🤡 #bbb21,,,[]
1367625433878003718,161870246,Thu Mar 04 23:58:07 +0000 2021,Mas bem que eu queria que alguém tipo Arthur ganhass pra colocar a Juliette e ela voltar plena e maravilhosa após um paredão falso.\n#BBB21,,,[]
1367625417981628422,231172836,,Primeiro paredão que esse caipira cair favor tirar logo\n\n#BBB21 https://t.co/tu3jNd3V2C,,,[]
1367625382288117760,1306089970927628289,Thu Mar 04 23:57:55 +0000 2021,eu quero muito a juliette no paredão falso pra ela abrir os olhos com os bastião e com a viih tube #bbb21,,,[]
1367625372699885568,364683554,Thu Mar 04 23:57:52 +0000 2021,Lumena ganha mais de 100 mil seguidores após sua eliminação do BBB 21 #bbb21\nhttps://t.co/0ivGe5UONj,,,[]
1367622770146889728,83764064,Thu Mar 04 23:47:32 +0000 2021,juliette: “amanhã é dia de arrumar as malas pra gente ir pro quarto do líder”\nsarah: “amém”,,,[]
1367622770146889728,83764064,Thu Mar 04 23:57:49 +0000 2021,"Misericórdia, eles não podem pegar esse líder, imagina a pessoa do paredão falso vendo toodas as conversas de jogo deles kkkk 🤡 #bbb21",,,[]
1367625323379101696,1280651303170039808,,@8Os__C4MIS nao faria tatuagem pra idolo\n\njuliette sarah lumena paredao big brother brasil bbb gil g3 projota arthur rodolffo rafael portugal\n#BBB21 #RedeBBB #CATBBB\n https://t.co/65FpNWYSIw,1367565548326903816,,[]
1367625263891312646,1656401389,Thu Mar 04 23:57:26 +0000 2021,A Thaís e a Viih Tube pegaram ranço do Gil só porque ele falou que é justo as pessoas que ainda não foram no paredão ir kkkkkkkkkkkkk\nDuas plantas patéticas.\n#BBB21,,,[]
1367625256865849345,1306089970927628289,Thu Mar 04 23:57:25 +0000 2021,"se o gil sair, vai ficar muito na cara que é paredão falso e pior ainda se ele for com alguem fraco #bbb21",,,[]
1367625228201955336,714710281,,É galera... Eu acho que o paredão fake vai ser o maior flop\n#BBB21 https://t.co/ZREUHl52oX,,,[]
1367625227178545152,883835017599864832,,@PortalTracklist Gilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale falsa ela não é  https://t.co/sLg5d0ZxW3,1367617713137475587,,[]
1367625112246226950,1306089970927628289,Thu Mar 04 23:56:50 +0000 2021,Pessoas que seriam boas no paredão falso (sem fanatismo):\n\n- Juliette\n- Carla\n- João\n\n#bbb21,,,[]
1367625104151220232,883835017599864832,,@PortalTracklist Gilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale graças a Deus  https://t.co/sLg5d0ZxW3,1367621505840996357,,[]
1367624864614543361,1247910056634523649,Thu Mar 04 23:55:51 +0000 2021,A verdade é que poderiam cancelar o paredão falso! O g3 está longe de ir para o paredão. Carla de vítima não tem nada ou vocês não lembram que ela pós em prática o plano do Projota?\n\n#BBB2021 #BBB  #BBB21,,,[]
136802851,706489853748355073,Thu Mar 04 23:55:46 +0000 2021,"@Carladiaz Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367624225754918914,,"[""136802851""]"
1367624837670326272,1520587034,Thu Mar 04 23:55:45 +0000 2021,Esse paredão falso vai ser feião #BBB21,,,[]
1367624828837109763,1309695225061834752,Thu Mar 04 23:55:43 +0000 2021,"Já perdi as esperanças desse paredão falso for bom, então que vá uma pessoa que descubra a falsidade da Viih tube e taque ela no paredão #bbb21",,,[]
1367624821664854017,827319695082713089,Thu Mar 04 23:55:41 +0000 2021,"Vamos ver as probabilidades.. quem vota em juliette?? Acho difícil ela ir pro paredão, mas certo ir a Carla . #bbb21",,,[]
1367624790039810052,967961279464984576,Thu Mar 04 23:55:33 +0000 2021,"Se as plantas se juntarem p botar Gil no paredão... eis q nos próximos serão plantas saindo uma a uma, vão ser os alvos fáceis\n\nPode começar pela planthais\n#bbb21",,,[]
1367624781433077768,756238969,,viih tube desesperada pra não ir ao paredão falando que estão desesperados pra não irem ao paredão  #bbb21 https://t.co/5AcJirjciH,,,[]
