metric,value
n_nodes,318
n_edges,304
density,0.0030156935103069263
n_weak_components,25
n_strong_components,318
diameter,
avg_path_length,
avg_clustering,0.0
avg_degree,1.9119496855345912
modularity,0.6523539746853598
n_communities,32
top_pagerank_1,14994303:0.077844
top_pagerank_2,179185127:0.013591
top_pagerank_3,789995979567169536:0.009489
top_pagerank_4,1564816840098021377:0.009194
top_pagerank_5,1.3675168394970644e+18:0.007694
top_pagerank_6,1.367608186124071e+18:0.006964
top_pagerank_7,136802851:0.004944
top_pagerank_8,1492483633256583173:0.004893
top_pagerank_9,1360818391049793539:0.004797
top_pagerank_10,743416679296868352:0.004772
top_betweenness_1,1.2835672279466353e+18:0.348055
top_betweenness_2,7.064898537483551e+17:0.048004
top_betweenness_3,8.838350175998648e+17:0.029440
top_betweenness_4,789995979567169536:0.020103
top_betweenness_5,179185127:0.018668
top_betweenness_6,1.3676177131374756e+18:0.017486
top_betweenness_7,14994303:0.013237
top_betweenness_8,136802851:0.012616
top_betweenness_9,1564816840098021377:0.011261
top_betweenness_10,1.3673003372044206e+18:0.011201
