tick,source,target,success,amount
4,7,85,1,1.0
6,87,9,1,1.0
8,66,83,1,1.0
10,45,62,1,1.0
12,75,85,1,1.0
110,36,98,1,1.0
2,70,3,1,1.0
8,30,23,1,1.0
10,6,50,1,1.0
134,34,17,0,1.0
136,99,75,1,1.0
258,52,82,1,1.0
276,79,6,1,1.0
312,67,75,1,1.0
350,1,70,1,1.0
352,84,70,1,1.0
388,53,52,1,1.0
390,42,84,1,1.0
392,16,99,1,1.0
394,49,44,1,1.0
396,27,52,1,1.0
430,65,42,1,1.0
448,33,1,1,1.0
450,39,44,1,1.0
572,43,20,1,1.0
720,50,21,1,1.0
828,96,48,0,1.0
830,57,40,1,1.0
848,46,58,1,1.0
1122,44,66,1,1.0
1124,49,42,1,1.0
2,68,99,1,1.0
4,1,60,1,1.0
8,9,17,1,1.0
12,72,45,1,1.0
38,80,45,1,1.0
102,17,4,1,1.0
182,81,2,0,1.0
206,6,58,1,1.0
452,44,69,0,1.0
454,88,45,1,1.0
570,64,46,1,1.0
572,66,80,1,1.0
574,65,45,1,1.0
576,46,32,1,1.0
578,0,78,1,1.0
580,56,15,1,1.0
706,30,22,1,1.0
710,43,37,1,1.0
712,88,22,1,1.0
714,76,52,1,1.0
716,37,19,1,1.0
718,31,3,1,1.0
720,20,15,1,1.0
722,30,23,1,1.0
724,36,23,1,1.0
726,34,1,1,1.0
728,4,25,1,1.0
730,64,41,1,1.0
734,15,78,1,1.0
736,36,23,1,1.0
738,38,71,1,1.0
740,64,78,1,1.0
742,89,69,1,1.0
744,40,25,1,1.0
746,71,51,1,1.0
748,67,51,1,1.0
750,86,9,1,1.0
752,5,51,1,1.0
756,76,51,1,1.0
758,76,25,1,1.0
762,55,74,1,1.0
764,73,32,1,1.0
768,87,17,1,1.0
770,56,18,1,1.0
772,90,19,1,1.0
774,26,18,1,1.0
776,10,18,1,1.0
4,45,30,1,1.0
8,2,83,1,1.0
14,82,43,1,1.0
62,43,82,1,1.0
64,9,82,1,1.0
66,84,82,1,1.0
150,71,84,1,1.0
152,57,11,1,1.0
154,78,95,1,1.0
210,80,94,0,1.0
212,66,13,1,1.0
260,93,16,1,1.0
400,63,27,1,1.0
494,86,93,1,1.0
496,14,26,1,1.0
